user_id,gender,age,age_group,family_status,membership_status,membership_duration_days,sign_up_date,total_flight_cost,total_hotel_cost,total_checked_bags,total_rooms_booked,avg_nights_stayed,avg_travel_duration,avg_flight_discount,avg_hotel_discount,num_discounts_used,num_total_bookings,avg_seats_booked,avg_days_before_trip,perk_score_free_meal,eligible_free_meal,perk_score_checked_bag,eligible_free_checked_bag,perk_score_no_cancellation_fees,eligible_no_cancellation_fees,perk_score_exclusive_discounts,eligible_exclusive_discounts,perk_score_hotel_flight_combo,eligible_free_night_combo,perk_score_welcome_drink,eligible_free_welcome_drink,is_no_booker,cluster_scores_elig_k6,assigned_perk,perk_group_marketing_name
23557,F,66,65 and older,married without children,long-term,1366,2021-07-22,0.0,3802.0,0.0,3.0,2.5,0.0,0.0,0.04375,2,2,0.0,,0.24569278322806073,False,,,0.5666666666666667,True,,,,,,,False,0,exclusive_discounts,The Young Explorers
94883,F,53,45-54,married without children,long-term,1166,2022-02-07,864.0899999999999,230.0,1.0,3.0,0.25,0.375,0.0,0.0125,1,2,0.375,7.153819444444444,,,0.13861805992563592,False,0.5413294615753197,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
101486,F,52,45-54,married with children,long-term,1156,2022-02-17,189.91,2452.0,0.0,3.0,1.125,0.5,0.018750000000000003,0.0,2,2,0.125,9.041666666666666,0.2694899879048515,False,,,0.5386513721856991,False,,,0.11174850098289181,False,,,False,2,no_cancellation_fees,The Savvy Planners
101961,F,44,35-44,married without children,long-term,1156,2022-02-17,1242.66,2798.0,2.0,5.0,2.75,3.0,0.037500000000000006,0.0125,3,5,0.625,6.259166666666667,0.46412276575729067,True,0.23946426217883388,False,0.6393190504861546,True,0.52622732295859,False,0.28051611833757467,True,,,False,4,free_meal,The Premium Travelers
106907,F,46,45-54,married with children,long-term,1149,2022-02-24,27804.12,8514.0,10.0,6.0,2.75,3.25,0.0,0.0,1,2,1.5,198.72055555555556,0.3028423598978632,False,0.4520165871234692,True,0.5053806549847404,False,,,0.3886860633882263,True,,,False,2,,The Savvy Planners
118043,F,52,45-54,single parent,long-term,1135,2022-03-10,2339.29,6638.0,3.0,5.0,3.0,1.75,0.05,0.04375,4,5,0.75,9.272569444444445,0.3972225955292747,True,0.34111872046521785,True,0.6349090233142337,True,0.4801320302047444,False,0.19255827439344358,False,,,False,4,free_meal,The Premium Travelers
120851,F,52,45-54,married with children,long-term,1132,2022-03-13,384.68,2002.0,0.0,1.0,1.375,1.5,0.056249999999999994,0.0,2,1,0.125,7.502777777777778,0.21281413788469292,False,,,0.503321580311207,False,,,0.10221471102569385,False,,,False,2,,The Savvy Planners
125845,F,41,35-44,married without children,long-term,1126,2022-03-19,1753.32,864.0,2.0,4.0,0.7777777777777778,1.1111111111111112,0.016666666666666666,0.005555555555555556,2,3,0.4444444444444444,9.089583333333334,0.14004838059400618,False,0.24040959177725676,False,0.5699190767027256,True,,,0.14990931713211636,False,,,False,2,no_cancellation_fees,The Savvy Planners
133058,F,20,18-24,single,long-term,1118,2022-03-27,423.51,0.0,0.0,0.0,0.0,0.5,0.0,0.00625,1,1,0.125,,,,,,0.49702293801854563,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
149058,F,52,45-54,single parent,long-term,1100,2022-04-14,1928.66,6274.0,2.0,6.0,3.75,4.125,0.00625,0.0,1,5,0.75,6.507916666666667,0.3943287192581642,True,0.23999089940430776,False,0.6312413250180887,True,0.6036786573008145,True,0.28527089117338567,True,,,False,4,free_meal,The Premium Travelers
152583,F,38,35-44,single,long-term,1097,2022-04-17,367.83,639.0,2.0,1.0,0.375,0.625,0.01875,0.01875,2,1,0.125,8.684722222222222,,,0.1767070230053406,False,0.49880410963266436,False,,,0.10755578505498871,False,,,False,5,,The Spontaneous Stayers
153982,F,46,45-54,single parent,long-term,1095,2022-04-19,656.8699999999999,1302.0,1.0,3.0,0.875,1.0,0.0,0.01875,1,3,0.375,9.127546296296297,,,0.13796825604556143,False,0.5655826040460907,True,,,0.2288929130504977,False,,,False,5,hotel_flight_combo,The Spontaneous Stayers
160754,F,47,45-54,married with children,long-term,1088,2022-04-26,93.62,642.0,1.0,1.0,0.375,0.5,0.0,0.0,0,1,0.125,11.751388888888888,,,0.1379344710702226,False,0.49930733449308334,False,,,0.10299870874781424,False,,,False,5,,The Spontaneous Stayers
164522,F,49,45-54,married without children,long-term,1084,2022-04-30,328.32,3262.0,1.0,1.0,1.75,1.875,0.0125,0.00625,3,1,0.125,8.858333333333333,0.24383819379115712,False,0.13902366526143442,False,0.4969007421363247,False,,,0.11050671359765649,False,,,False,2,,The Savvy Planners
167852,F,19,18-24,single,long-term,1081,2022-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,3,0,0.0,,,,,,,,,,,,0.4902793370756482,True,True,3,welcome_drink,The Curious Visitors
171470,F,25,25-34,single,long-term,1078,2022-05-06,11038.07,0.0,1.0,0.0,0.0,5.375,0.0125,0.0,3,3,0.5,,,,0.1620106747527849,False,0.3578330893118595,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
174997,F,33,25-34,single,long-term,1074,2022-05-10,3226.49,584.0,1.0,2.0,0.625,1.875,0.0,0.03125,3,3,0.5,8.047222222222222,,,0.14973340962797543,False,0.46028233914022976,False,,,0.150450597641976,False,,,False,5,,The Spontaneous Stayers
175032,F,30,25-34,single,long-term,1074,2022-05-10,1109.25,3606.0,1.0,6.0,1.4444444444444444,0.7777777777777778,0.03333333333333333,0.02222222222222222,3,3,0.4444444444444444,5.881597222222222,0.2649643865071899,False,0.13820382271427006,False,0.5594730321093749,False,,,0.09431022730986607,False,,,False,2,no_cancellation_fees,The Savvy Planners
181157,F,54,45-54,married without children,long-term,1069,2022-05-15,1039.43,5123.0,3.0,6.0,1.375,1.75,0.04375,0.01875,3,3,0.75,5.941666666666666,0.1808560677328316,False,0.25777596245412576,False,0.5597526014762744,False,,,0.15727667355169989,False,,,False,2,no_cancellation_fees,The Savvy Planners
182191,F,20,18-24,single parent,long-term,1068,2022-05-16,537.67,0.0,1.0,0.0,0.0,2.0,0.0,0.0125,2,1,0.25,,,,0.13999521534209142,False,0.18970229380185455,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
187212,F,56,55-64,married with children,long-term,1063,2022-05-21,1242.57,1556.0,2.0,3.0,1.125,1.25,0.04999999999999999,0.0125,2,3,0.375,8.684953703703703,0.15151861308963852,False,0.24016729595824027,False,0.5604927382319811,False,,,0.2341442619750282,False,,,False,2,no_cancellation_fees,The Savvy Planners
189676,F,37,35-44,single parent,long-term,1061,2022-05-23,1244.31,5463.0,2.0,4.0,2.375,0.75,0.01875,0.0,1,2,0.375,4.507638888888889,0.3018176320387045,False,0.18077458553074896,False,0.5232246974911333,False,,,0.11198320458649941,False,,,False,2,no_cancellation_fees,The Savvy Planners
190866,F,38,35-44,single,long-term,1060,2022-05-24,2081.0,2205.0,2.0,5.0,1.5555555555555556,1.7777777777777777,0.0,0.005555555555555556,1,5,0.5555555555555556,7.745138888888889,0.1744590780809031,False,0.23929373622844582,False,0.6262345820271333,True,0.6408363095280055,True,0.2901726575850593,True,,,False,4,,The Premium Travelers
195192,F,29,25-34,single,long-term,1056,2022-05-28,394.29,320.0,0.0,2.0,0.125,0.375,0.0125,0.0125,2,1,0.25,15.46875,,,,,0.49705004328696556,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
204943,M,42,35-44,single,long-term,1047,2022-06-06,3331.7599999999998,14779.0,9.0,10.0,6.75,7.25,0.037500000000000006,0.0,3,7,1.25,56.39701058201058,0.6126689961026743,True,0.5702453912281581,True,0.6775879527344212,True,0.5282919661249399,False,0.42332539804658514,True,,,False,4,free_meal,The Premium Travelers
204997,F,39,35-44,married without children,long-term,1047,2022-06-06,4955.63,5443.0,3.0,6.0,2.75,4.125,0.03125,0.025,4,5,1.0,16.856510416666666,0.29881736325762664,False,0.2646914406136242,False,0.507730304060384,False,0.44245158552877806,False,0.29755466064797753,True,,,False,1,,The Frequent Flyers
205044,F,41,35-44,married with children,long-term,1047,2022-06-06,2748.35,6362.0,1.0,6.0,1.7777777777777777,1.8888888888888888,0.005555555555555556,0.0,1,3,0.6666666666666666,6.660185185185185,0.2820823814003494,False,0.140066590743288,False,0.5569361715363577,False,,,0.24863226525119486,True,,,False,2,no_cancellation_fees,The Savvy Planners
206011,F,40,35-44,single parent,long-term,1046,2022-06-07,1046.5900000000001,1271.0,1.0,3.0,1.25,1.625,0.00625,0.05,3,4,0.5,5.351388888888889,0.1821663754871657,False,0.1395250565712705,False,0.5886056413025044,True,0.4823993840639968,False,0.0888814616835044,False,,,False,4,,The Premium Travelers
216796,F,23,18-24,single,long-term,1037,2022-06-16,5001.74,5302.0,4.0,2.0,2.75,2.75,0.0625,0.0125,5,2,0.5,194.64082175925927,0.32391479639833354,False,0.2866060207796161,False,0.48655449084678787,False,,,0.21200514253173033,False,,,False,2,,The Savvy Planners
217114,O,20,18-24,married with children,long-term,1036,2022-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.05,3,0,0.0,,,,,,,,,,,,0.4984752903662523,True,True,3,welcome_drink,The Curious Visitors
217136,F,40,35-44,single parent,long-term,1036,2022-06-17,539.57,1039.0,0.0,2.0,0.625,0.375,0.04375,0.0,2,2,0.125,7.8180555555555555,,,,,0.5204748457924995,False,,,0.14086528103453827,False,,,False,5,,The Spontaneous Stayers
220725,F,41,35-44,single,long-term,1033,2022-06-20,2422.92,2342.0,1.0,4.0,2.111111111111111,3.2222222222222223,0.016666666666666666,0.005555555555555556,3,5,0.5555555555555556,5.45875,0.45744691573713214,True,0.14083770496063677,False,0.5603390972760686,False,0.5410379109023798,False,0.281109179947787,True,,,False,1,,The Frequent Flyers
224996,F,44,35-44,single parent,long-term,1030,2022-06-23,897.61,231.0,0.0,1.0,0.125,0.625,0.0,0.0125,1,2,0.25,8.71875,,,,,0.5198998586230672,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
226367,F,44,35-44,single,long-term,1028,2022-06-25,889.21,2928.0,2.0,4.0,1.0,1.125,0.00625,0.0,1,3,0.5,7.43287037037037,,,0.23930301781507737,False,0.5547613070071562,False,,,0.23858886639231724,False,,,False,5,hotel_flight_combo,The Spontaneous Stayers
228195,F,28,25-34,single parent,long-term,1027,2022-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,1,0,0.0,,,,,,,,,,,,0.5744063221838968,True,True,3,welcome_drink,The Curious Visitors
228872,M,36,35-44,single,long-term,1026,2022-06-27,509.21,1360.0,1.0,2.0,1.75,0.75,0.04375,0.0,1,2,0.125,5.363194444444445,0.26768579492003763,False,0.13986313836432454,False,0.5184037366760201,False,,,0.08438131212109388,False,,,False,2,no_cancellation_fees,The Savvy Planners
229009,F,18,18-24,single,long-term,1026,2022-06-27,4508.89,773.0,1.0,2.0,0.625,4.625,0.0,0.0,1,4,0.5,9.06076388888889,,,0.13904645155661488,False,0.5111326188206838,False,0.6074956043367427,True,0.1613353477096311,False,,,False,5,,The Spontaneous Stayers
229108,F,26,25-34,single,long-term,1026,2022-06-27,877.22,0.0,0.0,0.0,0.0,1.75,0.05,0.025,5,2,0.25,,,,,,0.3668862859931674,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
229330,F,48,45-54,married without children,long-term,1026,2022-06-27,1548.11,4114.0,1.0,7.0,1.0,1.75,0.0,0.0125,1,4,0.875,7.936458333333333,0.2008130627603817,False,0.13984596742905617,False,0.5879535596401072,True,0.5802974445883629,True,0.18193167947602193,False,,,False,4,,The Premium Travelers
232647,F,19,18-24,single,long-term,1023,2022-06-30,237.1,2343.0,1.0,1.0,1.375,0.375,0.0125,0.0,1,2,0.125,,0.21864668727321596,False,0.13860033209516967,False,0.5164470473401659,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
249521,F,60,55-64,married with children,long-term,1008,2022-07-15,642.02,566.0,1.0,2.0,0.5,0.375,0.025,0.05,3,2,0.125,8.819444444444445,,,0.1404794821245923,False,0.5166787751677231,False,,,0.10539013201106968,False,,,False,5,,The Spontaneous Stayers
252835,F,39,35-44,single parent,long-term,1005,2022-07-18,1676.55,1702.0,3.0,4.0,1.625,2.625,0.0375,0.00625,2,5,0.625,8.392708333333333,0.2549086144335439,False,0.33912667540373354,False,0.6175748931156321,True,0.5332073519083854,False,0.21656391776856643,False,,,False,4,,The Premium Travelers
258451,F,24,65 and older,single,long-term,1001,2022-07-22,0.0,4628.0,0.0,2.0,3.25,0.0,0.01875,0.0,2,2,0.0,,0.32634726515253326,False,,,0.36322596388482187,False,,,0.09484011627906977,False,,,False,2,,The Savvy Planners
264470,F,46,45-54,single parent,long-term,996,2022-07-27,873.02,2218.0,1.0,2.0,1.25,1.375,0.00625,0.0125,2,2,0.25,8.557638888888889,0.2733436366079828,False,0.1380428335941459,False,0.5173497416482817,False,,,0.16888076043105002,False,,,False,2,no_cancellation_fees,The Savvy Planners
276512,F,42,35-44,married with children,long-term,986,2022-08-06,395.69,200.0,1.0,1.0,0.25,0.375,0.03125,0.03125,3,1,0.125,10.19513888888889,,,0.13933631550711803,False,0.4837662400178924,False,,,0.08750672461662742,False,,,False,5,,The Spontaneous Stayers
281952,F,38,35-44,single,long-term,981,2022-08-11,684.72,348.0,3.0,2.0,0.375,0.5,0.0,0.01875,1,2,0.25,7.670138888888889,,,0.25783882199958785,False,0.5145465681101332,False,,,0.08632259881703012,False,,,False,5,,The Spontaneous Stayers
283325,F,51,45-54,married without children,long-term,980,2022-08-12,453.27,3411.0,0.0,3.0,0.875,0.75,0.018750000000000003,0.0125,3,2,0.125,5.522222222222222,0.23486762531917754,False,,,0.5116687439966644,False,,,0.16608173571718315,False,,,False,2,,The Savvy Planners
290123,F,42,35-44,married without children,long-term,974,2022-08-18,4796.11,5672.0,6.0,10.0,2.0,1.7777777777777777,0.0,0.0,0,7,1.2222222222222223,6.341782407407408,0.3619921157550508,True,0.46062366925251663,True,0.6790610955077725,True,0.7182083842937415,True,0.30209919671541147,True,,,False,4,,The Premium Travelers
297546,F,52,45-54,married without children,long-term,968,2022-08-24,1660.72,4034.0,3.0,7.0,3.625,2.375,0.0,0.00625,1,5,0.75,5.534548611111111,0.3805962460242799,True,0.3393467572920785,True,0.6108222597943703,True,0.5677212192571974,True,0.21488030045256332,False,,,False,4,,The Premium Travelers
298253,F,47,45-54,married with children,long-term,968,2022-08-24,712.42,0.0,2.0,0.0,0.0,0.25,0.05625,0.01875,2,1,0.125,,,,0.1783061939740227,False,0.4750610053684724,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
299476,F,39,35-44,married without children,long-term,967,2022-08-25,192.38,142.0,0.0,1.0,0.2222222222222222,0.3333333333333333,0.04444444444444444,0.027777777777777776,3,1,0.1111111111111111,7.872916666666667,,,,,0.47916345439612645,False,,,0.07872432584294092,False,,,False,5,,The Spontaneous Stayers
306165,F,22,18-24,single,long-term,961,2022-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,,,,,,,,,,0.5056852635038245,True,True,3,welcome_drink,The Curious Visitors
306819,F,61,55-64,married with children,long-term,960,2022-09-01,270.15999999999997,1266.0,1.0,3.0,0.5,0.875,0.00625,0.00625,3,3,0.375,7.815177469135802,,,0.13773278219271914,False,0.4450075576301701,False,,,0.1305906776588151,False,,,False,5,,The Spontaneous Stayers
312488,M,31,25-34,married without children,long-term,956,2022-09-05,407.1,0.0,1.0,1.0,0.0,0.125,0.03125,0.025,2,1,0.125,6.363194444444445,,,0.139389266958851,False,0.47694593239531324,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
313724,F,52,45-54,single,long-term,955,2022-09-06,1911.3000000000002,4479.0,4.0,8.0,2.5,2.125,0.0,0.0,1,6,0.75,5.379078703703703,0.2668424942884021,False,0.43904689243197986,True,0.5923533890102207,True,0.5615631762683203,True,0.29357572683506467,True,,,False,4,,The Premium Travelers
316527,F,42,35-44,married with children,long-term,953,2022-09-08,1739.89,6403.0,1.0,5.0,1.75,2.125,0.01875,0.00625,2,4,0.625,7.840277777777778,0.3082414997984142,False,0.13878573178813478,False,0.5772654190837383,True,0.5194781871432832,False,0.2586692481827101,True,,,False,4,,The Premium Travelers
317688,F,41,35-44,single parent,long-term,952,2022-09-09,1238.74,1749.0,2.0,4.0,1.125,1.375,0.062499999999999986,0.00625,3,4,0.5,8.734375,,,0.23973516848864213,False,0.5775742414042604,True,0.4632831859047961,False,0.22633210425606196,False,,,False,4,,The Premium Travelers
322867,F,47,45-54,single,long-term,947,2022-09-14,173.04,1512.0,1.0,1.0,1.0,1.0,0.03125,0.025,3,1,0.125,6.834722222222222,0.1927025937374009,False,0.13830304287536127,False,0.47562821643630887,False,,,0.09982905496341873,False,,,False,2,,The Savvy Planners
324191,F,40,35-44,single,long-term,946,2022-09-15,99.74,2532.0,1.0,3.0,1.25,1.5,0.025,0.01875,2,2,0.375,10.171180555555555,0.17332347802714687,False,0.13782703670496246,False,0.5109395678413022,False,,,0.1755529625330754,False,,,False,2,,The Savvy Planners
328590,F,56,55-64,single,long-term,943,2022-09-18,3656.61,3565.0,1.0,4.0,1.375,1.875,0.0125,0.0375,4,4,0.75,8.530208333333334,0.26844846122832955,False,0.14493004932235135,False,0.4988286043526914,False,0.41797809546754483,False,0.17220512716846959,False,,,False,1,,The Frequent Flyers
330764,F,40,35-44,single,long-term,941,2022-09-20,751.04,1094.0,2.0,2.0,1.125,0.25,0.0,0.00625,2,4,0.75,,0.256507861846526,False,0.23924271070593892,False,0.49610785749145925,False,0.48420415224913493,False,,,,,False,1,,The Frequent Flyers
330893,F,44,35-44,married with children,long-term,941,2022-09-20,861.61,986.0,2.0,3.0,0.875,1.25,0.0,0.00625,1,3,0.375,5.913425925925925,0.14964386507189892,False,0.23869122203225906,False,0.5410117522815452,False,,,0.1629309730325843,False,,,False,2,no_cancellation_fees,The Savvy Planners
331039,F,45,45-54,married with children,long-term,941,2022-09-20,4581.74,6688.0,6.0,4.0,2.0,2.5,0.0125,0.018750000000000003,4,2,1.0,243.99561921296296,0.2964655288267706,False,0.3231314541833039,False,0.5022408873346561,False,,,0.20256207232889092,False,,,False,2,,The Savvy Planners
334787,F,53,45-54,single,long-term,938,2022-09-23,758.17,1190.0,2.0,3.0,0.875,1.125,0.0125,0.0,2,3,0.375,5.647453703703704,0.15096089235317833,False,0.23849422035600454,False,0.54037018687083,False,,,0.1697813815193103,False,,,False,2,no_cancellation_fees,The Savvy Planners
337227,F,35,35-44,married without children,long-term,936,2022-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,1,0,0.0,,,,,,,,,,,,0.4924766500965252,True,True,3,welcome_drink,The Curious Visitors
338086,F,41,35-44,single parent,long-term,936,2022-09-25,981.69,228.0,1.0,2.0,0.375,0.625,0.0375,0.025,2,2,0.25,7.329861111111111,,,0.13906329763635114,False,0.5079579883151113,False,,,0.08745177444435973,False,,,False,5,,The Spontaneous Stayers
340166,M,51,45-54,married with children,long-term,934,2022-09-27,0.0,474.0,0.0,1.0,0.25,0.0,0.0125,0.0125,2,1,0.0,,,,,,0.4700829673011225,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
343928,F,66,65 and older,married without children,long-term,931,2022-09-30,5550.62,464.0,1.0,1.0,0.5,2.0,0.07499999999999998,0.0125,3,2,0.375,5.1125,0.15039645208977287,False,0.16121166936760836,False,0.5044945126643071,False,,,0.09120052842752631,False,,,False,2,,The Savvy Planners
347778,F,50,45-54,single,long-term,928,2022-10-03,4233.69,6179.0,5.0,7.0,1.4444444444444444,1.6666666666666667,0.03333333333333334,0.0,2,5,0.8888888888888888,6.131770833333333,0.17861846526004568,False,0.45123718328906015,True,0.605208536530274,True,0.6139061293687733,True,0.3079230027043129,True,,,False,4,,The Premium Travelers
348817,F,29,25-34,single,long-term,927,2022-10-04,1374.6200000000001,3433.0,2.0,4.0,1.5,1.25,0.00625,0.0,1,4,0.375,5.751851851851852,0.23205214352909553,False,0.23941207645799803,False,0.5714859982033503,True,0.5507913071722885,True,0.24453429682450223,False,,,False,4,,The Premium Travelers
348863,F,68,65 and older,married without children,long-term,927,2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,1,0,0.0,,,,,,,,,,,,0.4876145190640701,True,True,3,welcome_drink,The Curious Visitors
349132,F,49,45-54,single,long-term,927,2022-10-04,721.06,4236.0,1.0,5.0,1.7777777777777777,1.0,0.0,0.011111111111111112,1,3,0.4444444444444444,7.104861111111111,0.3745329928773014,True,0.13979580045331266,False,0.5383549916277306,False,,,0.15884678120818124,False,,,False,2,no_cancellation_fees,The Savvy Planners
350648,F,19,18-24,single,long-term,926,2022-10-05,424.36,1480.0,0.0,2.0,1.0,1.0,0.04375,0.0125,3,2,0.25,4.142569444444445,0.2633785781480984,False,,,0.3543694285157792,False,,,0.16227870900691627,False,,,False,2,,The Savvy Planners
353271,F,27,25-34,single parent,long-term,924,2022-10-07,408.4,0.0,0.0,2.0,0.0,0.125,0.01875,0.01875,2,1,0.25,5.4875,,,,,0.4716537398234899,False,,,,,,,False,0,exclusive_discounts,The Young Explorers
353694,F,40,35-44,single parent,long-term,924,2022-10-07,461.37,1775.0,1.0,3.0,1.25,0.75,0.03125,0.0,3,2,0.375,7.970833333333333,0.2590444832683779,False,0.13867017603457205,False,0.506504523839676,False,,,0.1515156544782842,False,,,False,2,,The Savvy Planners
354050,F,50,45-54,single,long-term,924,2022-10-07,1957.88,3107.0,1.0,6.0,1.75,1.75,0.00625,0.00625,2,5,0.75,8.374027777777778,0.2484209111678538,False,0.1402013129732449,False,0.6065652218669901,True,0.4952848849564064,False,0.29414346601212227,True,,,False,4,,The Premium Travelers
354260,F,50,45-54,single,long-term,924,2022-10-07,1165.01,780.0,2.0,1.0,0.375,0.625,0.0375,0.0,2,2,0.25,8.652777777777779,,,0.24020328531040408,False,0.5043800928836821,False,,,0.11735692496718,False,,,False,5,,The Spontaneous Stayers
354311,F,46,45-54,married without children,long-term,923,2022-10-08,1072.8899999999999,388.0,1.0,1.0,0.5,0.625,0.0125,0.0,1,2,0.25,6.426388888888889,0.14682166375487166,False,0.14025268655525047,False,0.5036266997262072,False,,,0.09037407307918167,False,,,False,2,,The Savvy Planners
